
Entering STAGE 100
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 36810.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	[PRESENCE OF A GOD] 30%
[E100  1]:	[HP: 25767.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 25546.98 left
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 25326.95 left
[E100  1]:	STUNNED	   0.50 sec
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 756.98 left
[E100  1]:	TAKE	   0.86, 25326.09 left
[E100  1]:	ENRAGE	   1.00 stacks
[  Borge]:	[HP:   756.98/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:25326.09/36810.0] [AP: 263.18] [Speed: 9.45] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.11
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.04
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 25241.69 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.63
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.57
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.50
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.44
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 25172.50 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   7.36
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 752.36 left
[E100  1]:	TAKE	   0.86, 25186.85 left
[E100  1]:	ENRAGE	   2.00 stacks
[  Borge]:	[HP:   752.36/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:25186.85/36810.0] [AP: 263.18] [Speed: 9.40] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.21
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.14
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 25087.24 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.73
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.67
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.60
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.54
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 24867.21 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   7.43
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 770.06 left
[E100  1]:	TAKE	   0.66, 24881.76 left
[E100  1]:	ENRAGE	   3.00 stacks
[  Borge]:	[HP:   770.06/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:24881.76/36810.0] [AP: 263.18] [Speed: 9.36] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.07
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 24631.32 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   7.89
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.82
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.70
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 24411.29 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   7.59
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 724.44 left
[E100  1]:	TAKE	   0.86, 24425.64 left
[E100  1]:	ENRAGE	   4.00 stacks
[  Borge]:	[HP:   724.44/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:24425.64/36810.0] [AP: 263.18] [Speed: 9.31] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.43
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.37
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 24326.03 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.28
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.21
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.14
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.08
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 24256.84 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   7.99
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 674.42 left
[E100  1]:	TAKE	   0.86, 24271.19 left
[E100  1]:	ENRAGE	   5.00 stacks
[  Borge]:	[HP:   674.42/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:24271.19/36810.0] [AP: 263.18] [Speed: 9.26] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.83
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.76
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 24020.74 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.64
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.57
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.50
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.43
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 23800.72 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.32
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 634.02 left
[E100  1]:	TAKE	   0.86, 23815.07 left
[E100  1]:	ENRAGE	   6.00 stacks
[  Borge]:	[HP:   634.02/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:23815.07/36810.0] [AP: 263.18] [Speed: 9.21] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.16
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.08
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 23564.62 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	   8.25
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.18
